Id,Bound
0,1
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,0
324,0
325,1
326,0
327,0
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,1
427,1
428,1
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,1
473,0
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,0
540,0
541,0
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,1
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,0
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,1
615,1
616,0
617,1
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,1
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,0
676,0
677,1
678,1
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,1
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,0
743,0
744,0
745,0
746,1
747,0
748,0
749,0
750,1
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,0
775,0
776,1
777,1
778,1
779,0
780,0
781,1
782,0
783,1
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,1
792,1
793,0
794,0
795,0
796,1
797,1
798,0
799,1
800,0
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,0
821,0
822,1
823,1
824,0
825,1
826,0
827,0
828,1
829,1
830,1
831,0
832,1
833,0
834,0
835,0
836,0
837,1
838,0
839,0
840,1
841,0
842,0
843,0
844,0
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,1
854,1
855,1
856,0
857,1
858,0
859,1
860,0
861,0
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,0
872,1
873,1
874,0
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,1
884,1
885,1
886,0
887,1
888,0
889,1
890,1
891,1
892,1
893,1
894,0
895,0
896,1
897,0
898,0
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,1
907,0
908,0
909,0
910,0
911,1
912,1
913,1
914,0
915,1
916,0
917,0
918,1
919,0
920,0
921,0
922,1
923,0
924,1
925,1
926,1
927,1
928,1
929,0
930,1
931,1
932,1
933,1
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,1
943,1
944,1
945,0
946,0
947,1
948,0
949,0
950,0
951,1
952,0
953,0
954,1
955,1
956,1
957,1
958,0
959,0
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,1
973,1
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,0
986,0
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,1
1004,1
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,1
1032,1
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,0
1044,0
1045,1
1046,0
1047,1
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
1061,0
1062,1
1063,0
1064,1
1065,1
1066,1
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,0
1077,1
1078,0
1079,0
1080,1
1081,0
1082,1
1083,0
1084,0
1085,1
1086,1
1087,1
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,1
1101,1
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,1
1109,0
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,1
1154,0
1155,0
1156,0
1157,0
1158,1
1159,1
1160,0
1161,0
1162,0
1163,1
1164,1
1165,1
1166,0
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,1
1174,1
1175,0
1176,0
1177,0
1178,1
1179,1
1180,1
1181,1
1182,0
1183,1
1184,1
1185,1
1186,1
1187,0
1188,1
1189,0
1190,1
1191,1
1192,0
1193,1
1194,1
1195,0
1196,0
1197,1
1198,1
1199,1
1200,0
1201,1
1202,1
1203,0
1204,1
1205,1
1206,1
1207,1
1208,0
1209,1
1210,1
1211,0
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,1
1224,1
1225,1
1226,1
1227,1
1228,0
1229,1
