Id,Bound
4000,1
4001,1
4002,1
4003,0
4004,0
4005,0
4006,1
4007,0
4008,0
4009,1
4010,0
4011,1
4012,1
4013,1
4014,1
4015,0
4016,0
4017,0
4018,1
4019,1
4020,1
4021,1
4022,0
4023,1
4024,0
4025,1
4026,0
4027,1
4028,0
4029,0
4030,0
4031,0
4032,0
4033,0
4034,1
4035,1
4036,1
4037,1
4038,0
4039,0
4040,1
4041,1
4042,1
4043,0
4044,0
4045,0
4046,1
4047,1
4048,1
4049,1
4050,0
4051,1
4052,1
4053,1
4054,1
4055,0
4056,0
4057,0
4058,1
4059,1
4060,1
4061,0
4062,0
4063,0
4064,0
4065,1
4066,0
4067,0
4068,1
4069,1
4070,1
4071,0
4072,1
4073,1
4074,1
4075,0
4076,0
4077,0
4078,1
4079,1
4080,1
4081,0
4082,1
4083,0
4084,0
4085,1
4086,0
4087,0
4088,1
4089,0
4090,1
4091,0
4092,0
4093,0
4094,1
4095,0
4096,0
4097,0
4098,0
4099,1
4100,0
4101,1
4102,0
4103,1
4104,1
4105,0
4106,1
4107,1
4108,0
4109,1
4110,0
4111,0
4112,1
4113,1
4114,0
4115,0
4116,0
4117,1
4118,1
4119,0
4120,1
4121,1
4122,0
4123,1
4124,1
4125,1
4126,1
4127,1
4128,0
4129,0
4130,0
4131,1
4132,1
4133,0
4134,1
4135,0
4136,0
4137,1
4138,1
4139,0
4140,0
4141,1
4142,1
4143,0
4144,0
4145,1
4146,0
4147,0
4148,0
4149,1
4150,1
4151,1
4152,0
4153,0
4154,0
4155,1
4156,1
4157,1
4158,1
4159,1
4160,1
4161,1
4162,0
4163,1
4164,0
4165,0
4166,1
4167,1
4168,1
4169,1
4170,1
4171,1
4172,0
4173,0
4174,0
4175,1
4176,0
4177,1
4178,1
4179,1
4180,0
4181,1
4182,1
4183,0
4184,0
4185,1
4186,1
4187,0
4188,1
4189,1
4190,1
4191,0
4192,1
4193,1
4194,0
4195,1
4196,0
4197,0
4198,0
4199,0
4200,0
4201,0
4202,1
4203,1
4204,0
4205,1
4206,0
4207,0
4208,0
4209,1
4210,1
4211,0
4212,0
4213,0
4214,0
4215,1
4216,1
4217,1
4218,0
4219,1
4220,1
4221,0
4222,1
4223,0
4224,0
4225,1
4226,1
4227,0
4228,1
4229,1
4230,0
4231,0
4232,1
4233,0
4234,1
4235,1
4236,0
4237,0
4238,1
4239,0
4240,1
4241,0
4242,0
4243,1
4244,0
4245,1
4246,1
4247,0
4248,1
4249,1
4250,0
4251,1
4252,1
4253,1
4254,0
4255,0
4256,0
4257,1
4258,1
4259,1
4260,1
4261,0
4262,1
4263,1
4264,1
4265,1
4266,0
4267,0
4268,1
4269,1
4270,1
4271,1
4272,0
4273,0
4274,1
4275,1
4276,1
4277,0
4278,1
4279,1
4280,1
4281,1
4282,0
4283,0
4284,0
4285,0
4286,1
4287,0
4288,0
4289,0
4290,0
4291,1
4292,0
4293,0
4294,0
4295,1
4296,1
4297,1
4298,0
4299,1
4300,0
4301,1
4302,0
4303,1
4304,1
4305,0
4306,1
4307,1
4308,1
4309,1
4310,1
4311,0
4312,1
4313,1
4314,0
4315,0
4316,1
4317,0
4318,0
4319,1
4320,1
4321,1
4322,1
4323,0
4324,0
4325,1
4326,1
4327,0
4328,1
4329,1
4330,1
4331,1
4332,1
4333,1
4334,0
4335,0
4336,1
4337,0
4338,0
4339,1
4340,1
4341,1
4342,1
4343,1
4344,0
4345,1
4346,1
4347,1
4348,1
4349,1
4350,1
4351,1
4352,1
4353,1
4354,0
4355,0
4356,1
4357,0
4358,1
4359,0
4360,1
4361,1
4362,1
4363,0
4364,0
4365,1
4366,0
4367,0
4368,1
4369,1
4370,1
4371,0
4372,0
4373,1
4374,1
4375,0
4376,0
4377,0
4378,0
4379,1
4380,0
4381,1
4382,0
4383,0
4384,0
4385,1
4386,0
4387,1
4388,1
4389,1
4390,1
4391,1
4392,1
4393,0
4394,0
4395,1
4396,1
4397,1
4398,0
4399,0
4400,1
4401,1
4402,1
4403,1
4404,1
4405,0
4406,0
4407,0
4408,0
4409,0
4410,0
4411,1
4412,0
4413,0
4414,1
4415,0
4416,0
4417,1
4418,1
4419,0
4420,0
4421,0
4422,0
4423,0
4424,1
4425,1
4426,1
4427,1
4428,1
4429,1
4430,0
4431,0
4432,0
4433,0
4434,1
4435,0
4436,1
4437,0
4438,1
4439,0
4440,1
4441,1
4442,1
4443,0
4444,0
4445,1
4446,1
4447,0
4448,1
